"Organisation Name",Website,ASN,"Peering Policy","IPv4 Address","IPv6 Address",Location,"Switch Slot/[Pic/]Port","Port Type","Service Speed","Service Type","Membership Type","Route Servers"
"PhusionIM Ltd",http://www.phusionim.com,58226,Open,195.66.226.197,2001:7f8:4::e372:1,"Telehouse North (THN)","edge3-thn ge-7/0/7",1000,1000,Regular,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
"Pilot Fiber, Inc.",http://www.pilotfiber.com,46450,Selective,206.55.196.44,2001:504:31::b572:1,"Digital Realty IAD (44521 Hastings) ACC5 (DFT)","edge1-dft.nva1 xe-10/0/2",10G,10000,Regular,full,"rs1.nva1, rs2.nva1"
Pinnacom,http://www.pinnacom.com,44749,Open,195.66.239.212,2001:7f8:4:1::aecd:1,"Interxion LON2 (IN2)","edge1-in2-lon2 VLAN: 2491",ConneXions,1000,ConneXions,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
Pinnacom,http://www.pinnacom.com,44749,Open,195.66.227.54,2001:7f8:4::aecd:1,"Telehouse West (THW)","edge1-thw VLAN: 491",ConneXions,1000,ConneXions,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Pixel Factory",http://www.pixelfactorydc.com,32425,Open,206.55.196.11,2001:504:31::7ea9:1,"Iron Mountain VA1 (IMM)","edge1-imm.nva1 VLAN: 800",ConneXions,20000,ConneXions,"full,ConneXions","rs1.nva1, rs2.nva1"
"Possibly Lizards Limited",https://possiblylizards.com/,200639,Open,195.66.227.147,2001:7f8:4::3:fbf:1,"Equinix LD8 Harbour Exchange (TCH)","core4-tch VLAN: 37",ConneXions,100,ConneXions,full,"rs1.lon1, rs3.lon1"
"Powerhouse Management, Inc.",http://www.phmgmt.com/,22363,Open,195.66.237.71,2001:7f8:4:1::575b:1,"Equinix LD4 (EQ4)","edge4-eq4-lon2 xe11",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Powerhouse Management, Inc.",http://www.phmgmt.com/,22363,Open,195.66.225.71,2001:7f8:4::575b:1,"Equinix LD6 (EQ4)","edge5-eq4 ge-4/2/4",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Pragma Distribution",http://wearepragma.co.uk,204193,"No data",195.66.239.221,2001:7f8:4:1:0:3:1da1:1,"Telehouse North2 (TH2)","edge1-th2-lon2 xe13",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Pragma Distribution",http://wearepragma.co.uk,204193,"No data",195.66.225.208,2001:7f8:4::3:1da1:1,"Telehouse North2 (TH2)","edge1-th2 ge-9/0/5",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Prime Tel Plc",http://www.prime-tel.com/,8544,Selective,195.66.225.95,2001:7f8:4::2160:1,"Equinix LD8 Harbour Exchange (TCH)","edge4-tch xe-3/0/4",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"Prime Telecom",https://www.primetelecom.ro,39737,Selective,195.66.227.138,2001:7f8:4::9b39:1,"Telehouse North (THN)","core3-thn VLAN: 2500",ConneXions,1000,ConneXions,full,"rs1.lon1, rs3.lon1"
